segment,users,hit_at_10,hit_std,ndcg_at_10,ndcg_std
Fast Food & Burgers,12609,0.0721971078859016,0.002022494562184167,0.03655373634765887,0.0009316205176841255
Sandwiches & Deli,4741,0.06826970400056247,0.00012177816266392683,0.03591115911440554,0.0004931020252683889
Café & Bakery,12452,0.06052575222186529,0.0005640675528885753,0.031008607894168535,0.0004919961762206519
American & Comfort,22652,0.04781034787215257,0.0007760195934684352,0.02313292729703409,0.0004203342662351368
Mexican & Latin,18175,0.04759284731774416,0.0007702888583218728,0.023223122278674808,0.00046267501721511953
Italian & Pizza,15491,0.04652163621887978,0.0015005532994737706,0.02303960833531531,0.0008765525605307758
Bar & Pub,12625,0.045993399339933995,0.001602533692989415,0.02262491118786575,0.0008183845338850983
Japanese & Sushi,9124,0.04530176823030835,0.0015895301708174169,0.022559768254520874,0.0007727193824726533
Seafood,3914,0.04334866291943451,0.0014750901103465122,0.021323428900999374,0.00024408311757679628
Chinese,7076,0.04277369511965329,0.0011422984410196083,0.02127199547964516,0.0003248359778064246
Asian,9782,0.04065289988414094,0.0013024953897373685,0.019987390251607548,0.0008038513774433148
Indian & South Asian,3034,0.040210942649967045,0.002929530130954381,0.021108158345446857,0.001366610169676332
BBQ & Steakhouse,5815,0.03846374319289195,0.001036580184581549,0.01810264650316603,0.0003548873620703831
Mediterranean & Middle Eastern,5790,0.02895797351755901,0.0014381112258833389,0.013282069026003809,0.0004023085146622387
