model,condition,val_hit_at_10_mean,val_hit_at_10_std,val_ndcg_at_10_mean,val_ndcg_at_10_std,test_hit_at_10_mean,test_hit_at_10_std,test_ndcg_at_10_mean,test_ndcg_at_10_std
FeatureTwoTower,full_llm,0.018666803333333332,0.00016163382700825214,0.008958366666666667,0.00012002676465411081,0.015303716666666667,0.00010393360589017024,0.007440680000000001,7.02336101877165e-06
FeatureTwoTower,non_llm,0.018125853333333334,0.00011345272378102341,0.008723219999999999,1.6046928054927736e-05,0.0148697,0.00012245323148043135,0.007265216666666667,6.367739185404258e-05
KGAT-SAL,full_llm,0.03802341,0.0008225581835347609,0.019118823333333333,0.0004546175454525853,0.02753578666666667,0.0006963100818122171,0.013668566666666666,0.00040423679574394717
KGAT-SAL,non_llm,0.03384471666666666,0.0006292988290417626,0.01691812666666667,0.00033475306276916126,0.024751386666666667,0.0006608142329227875,0.012335899999999999,0.000306435117602405
LightGCN,full_llm,0.029731016666666665,0.0002963931639450098,0.014844663333333334,9.469101875750116e-05,0.021665066666666667,0.00011806672364952624,0.010677023333333332,7.890495949769831e-05
LightGCN,non_llm,0.028053670000000003,0.0001313390558820929,0.01393614,4.6787069794976606e-05,0.02101299333333333,0.00012849676156749315,0.010337253333333333,5.921389392138769e-05
