timestamp,model,condition,seed,val_hit_at_10,val_ndcg_at_10,test_hit_at_10,test_ndcg_at_10,epochs,emb_dim
2026-09-21T22:10:42.295277-04:00,LightGCN,non_llm,42,0.02790271,0.01397364,0.02095848,0.01037554,300,1024
2026-09-21T22:16:34.351800-04:00,FeatureTwoTower,non_llm,42,0.01813424,0.00872135,0.01482567,0.00722168,300,1024
2026-09-21T22:39:24.706333-04:00,FeatureTwoTower,full_llm,42,0.01851794,0.00882030,0.01537291,0.00743758,300,1024
2026-09-21T22:43:08.164293-04:00,KGAT-SAL,non_llm,42,0.03373988,0.01686279,0.02472623,0.01233621,300,1024
2026-09-21T22:55:05.223379-04:00,LightGCN,full_llm,42,0.03007278,0.01495336,0.02160007,0.01061648,300,1024
2026-09-21T23:16:47.605137-04:00,KGAT-SAL,full_llm,42,0.03815550,0.01921080,0.02790271,0.01390694,300,1024
2026-09-21T23:16:57.668277-04:00,FeatureTwoTower,non_llm,43,0.01823488,0.00874012,0.01477535,0.00723567,300,1024
2026-09-21T23:32:38.472995-04:00,LightGCN,non_llm,43,0.02811657,0.01388371,0.02092074,0.01026905,300,1024
2026-09-21T23:49:43.463887-04:00,KGAT-SAL,non_llm,43,0.03327442,0.01661449,0.02410351,0.01202931,300,1024
2026-09-21T23:55:15.109005-04:00,FeatureTwoTower,full_llm,43,0.01883873,0.00901693,0.01518420,0.00743574,300,1024
2026-09-22T00:05:28.869722-04:00,LightGCN,full_llm,43,0.02954441,0.01480057,0.02180135,0.01076626,300,1024
2026-09-22T00:27:52.692730-04:00,FeatureTwoTower,non_llm,44,0.01800844,0.00870819,0.01500808,0.00733830,300,1024
2026-09-22T00:29:33.238483-04:00,KGAT-SAL,full_llm,43,0.03877193,0.01952042,0.02797190,0.01389693,300,1024
2026-09-22T00:43:48.630662-04:00,LightGCN,non_llm,44,0.02814173,0.01395107,0.02115976,0.01036717,300,1024
2026-09-22T01:03:14.051098-04:00,KGAT-SAL,non_llm,44,0.03451985,0.01727710,0.02542442,0.01264218,300,1024
2026-09-22T01:06:05.669925-04:00,FeatureTwoTower,full_llm,44,0.01864374,0.00903787,0.01535404,0.00744872,300,1024
2026-09-22T01:21:10.069705-04:00,LightGCN,full_llm,44,0.02957586,0.01478006,0.02159378,0.01064833,300,1024
2026-09-22T01:40:29.867626-04:00,KGAT-SAL,full_llm,44,0.03714280,0.01862525,0.02673275,0.01320183,300,1024
