model,condition,val_hit_at_10_mean_expanded,val_hit_at_10_std_expanded,val_ndcg_at_10_mean_expanded,val_ndcg_at_10_std_expanded,test_hit_at_10_mean_expanded,test_hit_at_10_std_expanded,test_ndcg_at_10_mean_expanded,test_ndcg_at_10_std_expanded,val_hit_at_10_mean_earlier,val_hit_at_10_std_earlier,val_ndcg_at_10_mean_earlier,val_ndcg_at_10_std_earlier,test_hit_at_10_mean_earlier,test_hit_at_10_std_earlier,test_ndcg_at_10_mean_earlier,test_ndcg_at_10_std_earlier,delta_test_hit_at_10_mean,delta_test_ndcg_at_10_mean,delta_val_hit_at_10_mean,delta_val_ndcg_at_10_mean
FeatureTwoTower,full_llm,0.018666803333333332,0.00016163382700825214,0.008958366666666667,0.00012002676465411081,0.015303716666666667,0.00010393360589017024,0.007440680000000001,7.02336101877165e-06,0.02021618,2.3075528162971053e-05,0.009807886666666666,4.908615317310284e-05,0.016487373333333333,0.0001465396786994336,0.007961603333333333,6.99448277811402e-05,-0.0011836566666666663,-0.0005209233333333318,-0.001549376666666668,-0.0008495199999999994
FeatureTwoTower,non_llm,0.018125853333333334,0.00011345272378102341,0.008723219999999999,1.6046928054927736e-05,0.0148697,0.00012245323148043135,0.007265216666666667,6.367739185404258e-05,0.01986207,8.228678326438481e-05,0.009683543333333334,5.871673469576897e-05,0.016340183333333334,0.00014723637265748356,0.007849693333333333,9.919259112117957e-05,-0.0014704833333333348,-0.0005844766666666659,-0.001736216666666665,-0.0009603233333333357
KGAT-SAL,full_llm,0.03802341,0.0008225581835347609,0.019118823333333333,0.0004546175454525853,0.02753578666666667,0.0006963100818122171,0.013668566666666666,0.00040423679574394717,0.042919643333333334,0.0010426596173887914,0.0218415,0.0005138391453558222,0.03199988,0.0005893262156055874,0.01614374,0.00028917022097719634,-0.004464093333333332,-0.002475173333333334,-0.004896233333333333,-0.0027226766666666666
KGAT-SAL,non_llm,0.03384471666666666,0.0006292988290417626,0.01691812666666667,0.00033475306276916126,0.024751386666666667,0.0006608142329227875,0.012335899999999999,0.000306435117602405,0.037411763333333334,0.0005366852349686277,0.018738809999999998,0.0003137628325662562,0.028623053333333332,0.0002611536261156123,0.014371219999999999,0.0001779967210372145,-0.0038716666666666656,-0.00203532,-0.0035670466666666706,-0.0018206833333333297
LightGCN,full_llm,0.029731016666666665,0.0002963931639450098,0.014844663333333334,9.469101875750116e-05,0.021665066666666667,0.00011806672364952624,0.010677023333333332,7.890495949769831e-05,0.03590573666666667,0.00010885273277843482,0.017985733333333333,0.00013900676830044473,0.02676718,5.366781810358875e-05,0.013384456666666667,7.642057401860629e-05,-0.005102113333333335,-0.0027074333333333353,-0.006174720000000002,-0.0031410699999999993
LightGCN,non_llm,0.028053670000000003,0.0001313390558820929,0.01393614,4.6787069794976606e-05,0.02101299333333333,0.00012849676156749315,0.010337253333333333,5.921389392138769e-05,0.03381948666666667,0.000133370421883317,0.016943506666666667,0.00011305264275253972,0.025564066666666666,0.00034890230972771255,0.012741419999999998,6.833725411516071e-05,-0.004551073333333336,-0.0024041666666666656,-0.005765816666666666,-0.003007366666666667
