level,gender,observations,mean_rating,median_rating,standard_deviation
review,female,1821381,4.135919942065938,5.0,1.4135109683677598
review,male,2254120,4.097438468227069,5.0,1.407463480869054
reviewer,female,1344932,4.096873761301481,5.0,1.437878084513707
reviewer,male,1571795,4.046099756656102,5.0,1.4354358922577803
