state,Mexican & Latin,American & Comfort,Italian & Pizza,Café & Bakery,Fast Food & Burgers,Bar & Pub,Chinese,Asian,Japanese & Sushi,Sandwiches & Deli
NY,0.16359799141256096,0.13419692889891566,0.14394876646532276,0.11207335710646969,0.0891492613346918,0.07022778545957353,0.11585765228149335,0.056182228367658835,0.05741940179026272,0.05734662688305073
CA,0.23494874184529357,0.11873252562907735,0.10242311276794036,0.09925442684063374,0.1103448275862069,0.05265610438024231,0.05675675675675676,0.09794967381174277,0.07567567567567568,0.05125815470643057
TX,0.25264950794852387,0.17694928084784253,0.09102952308856926,0.08478425435276306,0.14704769114307342,0.06245268735806207,0.03766086298258895,0.04939439818319455,0.03766086298258895,0.06037093111279334
FL,0.20124297129328203,0.15655519384433264,0.1358390056229654,0.1160106540396567,0.1260728026043208,0.07369044095886357,0.030778336786031372,0.03699319325244155,0.05978100029594555,0.0630364013021604
NJ,0.29993718592964824,0.13756281407035176,0.12468592964824121,0.11746231155778894,0.08982412060301508,0.03548994974874372,0.0785175879396985,0.03925879396984925,0.031407035175879394,0.04585427135678392
IL,0.19162735849056603,0.15507075471698112,0.12441037735849056,0.1164504716981132,0.10288915094339622,0.06869103773584906,0.046285377358490566,0.0625,0.06279481132075472,0.06928066037735849
PA,0.12922297297297297,0.14527027027027026,0.16047297297297297,0.1089527027027027,0.08234797297297297,0.08403716216216216,0.12711148648648649,0.06756756756756757,0.0472972972972973,0.04771959459459459
MA,0.1615798922800718,0.14661879114302812,0.17713943746259725,0.13824057450628366,0.056253740275284264,0.08677438659485338,0.056253740275284264,0.07121484141232795,0.05745062836624776,0.04847396768402154
