stars,reviews,mean_text_length,mean_photos,share
1,716520,385.6330332719254,0.23854463238988444,0.1295414397193522
2,267886,406.1413362400424,0.38430153124836686,0.048431778764944984
3,362281,335.104703255208,0.6526784457368727,0.06549768648881626
4,689336,258.210245801757,0.9640102939640466,0.12462677648967141
5,3495180,223.02009910791432,0.8095543004938229,0.6319023185372151
