cuisine,White,Asian,Black,Hispanic
Seafood,0.3642473002624446,0.2888525577593254,0.28206341694273546,0.06483672503549456
Indian & South Asian,0.2504745455478222,0.5156557278930177,0.1973510953024266,0.036518631256733415
BBQ & Steakhouse,0.3843322976682453,0.2870923954028536,0.26788332177008234,0.06069198515881874
Mediterranean & Middle Eastern,0.34985053918117914,0.3394698986931105,0.25122170191493487,0.05945786021077546
Sandwiches & Deli,0.36745937767252157,0.2951203868166568,0.2688885599631603,0.06853167554766133
Chinese,0.33870036277268956,0.34701322574872706,0.24488783328724115,0.06939857819134226
Japanese & Sushi,0.3611677499613547,0.33075207396338635,0.24454365444494336,0.06353652163031556
Asian,0.3471113445378151,0.36401654411764706,0.2298581932773109,0.05901391806722689
Bar & Pub,0.38954192879823,0.2860425465315637,0.2664505588056049,0.05796496586460139
Café & Bakery,0.36297462860544133,0.3080404751866273,0.25746715937931436,0.07151773682861702
Fast Food & Burgers,0.3624693537899892,0.29038390032550104,0.27467554288282164,0.07247120300168815
Italian & Pizza,0.3679890014293057,0.2992406700120047,0.2625164134053253,0.07025391515336432
Mexican & Latin,0.33616768723237594,0.29144835342594205,0.2587775025106908,0.1136064568309912
American & Comfort,0.3726810012389447,0.28809889031316877,0.27471587404598574,0.06450423440190078
