feature,region,region_rows,selected_rows,within_region_rate,global_rate,rate_ratio_to_global,share_of_positive_rows,baseline_catalogue_share
cuisine_cafe_bakery,NY,16871,1372,0.08132298026198803,0.07976145564293799,1.0195774338176624,0.2495906858286338,0.24479816593633014
cuisine_cafe_bakery,Other states,39739,3180,0.08002214449281563,0.07976145564293799,1.0032683562226428,0.5784973621975623,0.5766127862096985
cuisine_cajun_creole,CA,12308,15,0.0012187195320116997,0.0016831596970312546,0.72406648885502,0.12931034482758622,0.1785890478539714
cuisine_cajun_creole,NY,16871,15,0.0008890996384328137,0.0016831596970312546,0.5282324903578677,0.12931034482758622,0.24479816593633014
cuisine_cajun_creole,Other states,39739,86,0.0021641208887994163,0.0016831596970312546,1.285748994950674,0.7413793103448276,0.5766127862096985
cuisine_caribbean,CA,12308,48,0.003899902502437439,0.012754287704228214,0.30577187788735316,0.05460750853242321,0.1785890478539714
cuisine_caribbean,NY,16871,362,0.021456937940845237,0.012754287704228214,1.6823313413050875,0.4118316268486917,0.24479816593633014
cuisine_caribbean,Other states,39739,469,0.011802008102871235,0.012754287704228214,0.925336512438771,0.5335608646188851,0.5766127862096985
cuisine_chinese,CA,12308,643,0.052242443938901525,0.06265416872224963,0.8338223138909716,0.1489115331171839,0.1785890478539714
cuisine_chinese,NY,16871,1760,0.10432102424278347,0.06265416872224963,1.6650292609458432,0.4075961093098657,0.24479816593633014
cuisine_chinese,Other states,39739,1915,0.048189436070359096,0.06265416872224963,0.7691337552332117,0.4434923575729504,0.5766127862096985
cuisine_desserts,CA,12308,54,0.0043873903152421186,0.006108708900432398,0.7182189210115352,0.12826603325415678,0.1785890478539714
cuisine_desserts,NY,16871,156,0.009246636239701263,0.006108708900432398,1.513680941491049,0.37054631828978624,0.24479816593633014
cuisine_desserts,Other states,39739,211,0.005309645436472986,0.006108708900432398,0.8691927415459507,0.501187648456057,0.5766127862096985
cuisine_indian,CA,12308,257,0.020880727981800455,0.02218578600655852,0.9411759392084523,0.16808371484630477,0.1785890478539714
cuisine_indian,NY,16871,403,0.023887143619228262,0.02218578600655852,1.0766868305755222,0.26357096141268804,0.24479816593633014
cuisine_indian,Other states,39739,869,0.021867686655426658,0.02218578600655852,0.9856620202215136,0.5683453237410072,0.5766127862096985
cuisine_italian,CA,12308,1227,0.09969125771855704,0.1107548100641342,0.9001077033207799,0.16074937770208306,0.1785890478539714
cuisine_italian,NY,16871,2143,0.12702270167743465,0.1107548100641342,1.1468820325174167,0.28075461810559416,0.24479816593633014
cuisine_italian,Other states,39739,4263,0.10727496917385944,0.1107548100641342,0.9685806793559603,0.5584960041923228,0.5766127862096985
cuisine_japanese,CA,12308,665,0.054029899252518686,0.04456020197916365,1.2125146846906814,0.21654184304786714,0.1785890478539714
cuisine_japanese,NY,16871,884,0.052397605358307155,0.04456020197916365,1.1758834796756146,0.2878541191794204,0.24479816593633014
cuisine_japanese,Other states,39739,1522,0.03829990689247339,0.04456020197916365,0.8595092748992122,0.49560403777271245,0.5766127862096985
cuisine_korean,CA,12308,511,0.04151771205719857,0.02809135494355611,1.477953346879138,0.26394628099173556,0.1785890478539714
cuisine_korean,NY,16871,450,0.02667298915298441,0.02809135494355611,0.949508815312696,0.23243801652892562,0.24479816593633014
cuisine_korean,Other states,39739,975,0.024535091471853846,0.02809135494355611,0.8734036332940203,0.5036157024793388,0.5766127862096985
cuisine_latin_american,CA,12308,1827,0.14844003899902503,0.12236280797469457,1.2131140291396665,0.21664887940234792,0.1785890478539714
cuisine_latin_american,NY,16871,1881,0.11149309465947484,0.12236280797469457,0.9111681605290747,0.22305229455709713,0.24479816593633014
cuisine_latin_american,Other states,39739,4725,0.11890082790206095,0.12236280797469457,0.9717072521468323,0.5602988260405549,0.5766127862096985
cuisine_mediterranean,CA,12308,414,0.03363665908352291,0.030630604486491193,1.0981389250204794,0.1961155850307911,0.1785890478539714
cuisine_mediterranean,NY,16871,534,0.031651947128208166,0.030630604486491193,1.0333438617630746,0.25296068214116535,0.24479816593633014
cuisine_mediterranean,Other states,39739,1163,0.029265960391554897,0.030630604486491193,0.9554483459332924,0.5509237328280436,0.5766127862096985
cuisine_mexican,CA,12308,2188,0.1777705557361066,0.14302504425549203,1.2429330587624017,0.2219742315106016,0.1785890478539714
cuisine_mexican,NY,16871,2108,0.12494813585442476,0.14302504425549203,0.8736101883752911,0.21385817185756315,0.24479816593633014
cuisine_mexican,Other states,39739,5561,0.13993809607690177,0.14302504425549203,0.978416729778626,0.5641675966318352,0.5766127862096985
cuisine_middle_eastern,CA,12308,413,0.033555411114722135,0.030848254447314198,1.0877572075279494,0.1942615239887112,0.1785890478539714
cuisine_middle_eastern,NY,16871,574,0.03402287949736234,0.030848254447314198,1.1029110109121438,0.2699905926622766,0.24479816593633014
cuisine_middle_eastern,Other states,39739,1139,0.02866201967840157,0.030848254447314198,0.9291293848523422,0.5357478833490122,0.5766127862096985
cuisine_other,CA,12308,1537,0.12487812804679883,0.14045677471778056,0.8890858294141819,0.1587809917355372,0.1785890478539714
cuisine_other,NY,16871,2492,0.14770908659830478,0.14045677471778056,1.0516337634485504,0.2574380165289256,0.24479816593633014
cuisine_other,Other states,39739,5651,0.14220287375122675,0.14045677471778056,1.0124315757424633,0.5837809917355372,0.5766127862096985
cuisine_pizza,CA,12308,2024,0.1644458888527787,0.17970631765286282,0.9150812892980058,0.16342349616471538,0.1785890478539714
cuisine_pizza,NY,16871,3310,0.19619465354750756,0.17970631765286282,1.091751565053462,0.2672587807832055,0.24479816593633014
cuisine_pizza,Other states,39739,7051,0.17743274868517073,0.17970631765286282,0.9873484193689621,0.5693177230520792,0.5766127862096985
cuisine_seafood,CA,12308,1602,0.13015924601884954,0.12819582692475115,1.0153157800936132,0.18132427843803056,0.1785890478539714
cuisine_seafood,NY,16871,1899,0.11256001422559421,0.12819582692475115,0.8780318121561406,0.21494057724957555,0.24479816593633014
cuisine_seafood,Other states,39739,5334,0.13422582349832657,0.12819582692475115,1.0470373858356163,0.6037351443123938,0.5766127862096985
cuisine_southern,CA,12308,2300,0.18687032824179395,0.18095417742824807,1.0326941930693574,0.18442787266458183,0.1785890478539714
cuisine_southern,NY,16871,2778,0.1646612530377571,0.18095417742824807,0.9099610485811999,0.22275679576617755,0.24479816593633014
cuisine_southern,Other states,39739,7393,0.18603890384760563,0.18095417742824807,1.0280995249273743,0.5928153315692406,0.5766127862096985
cuisine_steakhouse,CA,12308,255,0.020718232044198894,0.024536405583446996,0.8443874133779417,0.15079834417504434,0.1785890478539714
cuisine_steakhouse,NY,16871,240,0.01422559421492502,0.024536405583446996,0.5797749864602025,0.1419278533412182,0.24479816593633014
cuisine_steakhouse,Other states,39739,1196,0.030096378872140717,0.024536405583446996,1.22660096931413,0.7072738024837374,0.5766127862096985
cuisine_thai,CA,12308,329,0.026730581735456612,0.01913868655503642,1.3966779621260035,0.2494313874147081,0.1785890478539714
cuisine_thai,NY,16871,321,0.019026732262462213,0.01913868655503642,0.9941503669934577,0.24336618650492797,0.24479816593633014
cuisine_thai,Other states,39739,669,0.01683484737914895,0.01913868655503642,0.8796239663958962,0.5072024260803639,0.5766127862096985
cuisine_vegetarian_vegan,CA,12308,90,0.007312317192070198,0.006979308743724426,1.0477136720230642,0.18711018711018712,0.1785890478539714
cuisine_vegetarian_vegan,NY,16871,132,0.00782407681820876,0.006979308743724426,1.121038931719982,0.27442827442827444,0.24479816593633014
cuisine_vegetarian_vegan,Other states,39739,259,0.006517526862779637,0.006979308743724426,0.9338355848836737,0.5384615384615384,0.5766127862096985
cuisine_vietnamese,CA,12308,79,0.006418589535261619,0.0039031892974259264,1.6444474111195548,0.2936802973977695,0.1785890478539714
cuisine_vietnamese,NY,16871,31,0.0018374725860944817,0.0039031892974259264,0.47076184270802784,0.11524163568773234,0.24479816593633014
cuisine_vietnamese,Other states,39739,159,0.004001107224640781,0.0039031892974259264,1.0250866457538788,0.5910780669144982,0.5766127862096985
meal_all_day,CA,12308,1,8.124796880077999e-05,0.00015960997127020517,0.5090406830738323,0.09090909090909091,0.1785890478539714
meal_all_day,NY,16871,4,0.000237093236915417,0.00015960997127020517,1.4854537910669734,0.36363636363636365,0.24479816593633014
meal_all_day,Other states,39739,6,0.00015098517828833136,0.00015960997127020517,0.9459633197522928,0.5454545454545454,0.5766127862096985
meal_breakfast,CA,12308,1654,0.13438414039649008,0.1327519661046461,1.0122949161487926,0.1807847852224287,0.1785890478539714
meal_breakfast,NY,16871,2061,0.12216229032066861,0.1327519661046461,0.9202296124516165,0.22527052136845557,0.24479816593633014
meal_breakfast,Other states,39739,5434,0.13674224313646544,0.1327519661046461,1.0300581388653323,0.5939446934091157,0.5766127862096985
meal_brunch,CA,12308,437,0.03550536236594085,0.04982733103108041,0.7125680150075456,0.12725684333139195,0.1785890478539714
meal_brunch,NY,16871,948,0.056191097148953824,0.04982733103108041,1.1277163754547466,0.27606290040768783,0.24479816593633014
meal_brunch,Other states,39739,2049,0.05156143838546516,0.04982733103108041,1.0348023327459197,0.5966802562609202,0.5766127862096985
meal_dinner,CA,12308,9614,0.7811179720506988,0.7841782988479062,0.9960974094772788,0.17789208792835468,0.1785890478539714
meal_dinner,NY,16871,13399,0.7942030703574181,0.7841782988479062,1.0127837910386452,0.24792761453630374,0.24479816593633014
meal_dinner,Other states,39739,31031,0.7808701779108684,0.7841782988479062,0.9957814173869667,0.5741802975353416,0.5766127862096985
meal_late_night,CA,12308,330,0.026811829704257394,0.023970515685307177,1.1185337043329364,0.19975786924939468,0.1785890478539714
meal_late_night,NY,16871,353,0.02092347815778555,0.023970515685307177,0.8728839392725573,0.21368038740920098,0.24479816593633014
meal_late_night,Other states,39739,969,0.024384106293565515,0.023970515685307177,1.0172541389466998,0.5865617433414043,0.5766127862096985
meal_lunch,CA,12308,9116,0.7406564835879103,0.7283438288981108,1.0169050031060562,0.1816080962626504,0.1785890478539714
meal_lunch,NY,16871,12326,0.7306028095548575,0.7283438288981108,1.003101530578167,0.24555741493346084,0.24479816593633014
meal_lunch,Other states,39739,28754,0.7235713027504467,0.7283438288981108,0.9934474269454794,0.5728344888038888,0.5766127862096985
