feature,region,region_rows,selected_rows,within_region_rate,global_rate,rate_ratio_to_global,share_of_positive_rows,baseline_catalogue_share
cuisine_african,CA,12308,22,0.0017874553136171597,0.0025392495429350822,0.7039305445935281,0.12571428571428572,0.1785890478539714
cuisine_african,NY,16871,51,0.0030229387706715667,0.0025392495429350822,1.1904851096979603,0.2914285714285714,0.24479816593633014
cuisine_african,Other states,39739,102,0.002566748030901633,0.0025392495429350822,1.0108293759638785,0.5828571428571429,0.5766127862096985
cuisine_american,CA,12308,1761,0.14307767305817354,0.15844917147914914,0.902987827090037,0.16126373626373627,0.1785890478539714
cuisine_american,NY,16871,2246,0.13312785252800663,0.15844917147914914,0.8401927967513884,0.20567765567765567,0.24479816593633014
cuisine_american,Other states,39739,6913,0.17396008958453912,0.15844917147914914,1.0978920745409586,0.633058608058608,0.5766127862096985
cuisine_bar_pub,CA,12308,603,0.04899252518687033,0.06840012768797701,0.7162636510031246,0.12791684344505727,0.1785890478539714
cuisine_bar_pub,NY,16871,1007,0.059688222393456225,0.06840012768797701,0.8726332012966093,0.21361900721255833,0.24479816593633014
cuisine_bar_pub,Other states,39739,3104,0.0781096655678301,0.06840012768797701,1.1419520431912844,0.6584641493423844,0.5766127862096985
cuisine_bbq,CA,12308,242,0.019662008449788757,0.021242636176325488,0.9255917338405338,0.16530054644808742,0.1785890478539714
cuisine_bbq,NY,16871,206,0.012210301701143974,0.021242636176325488,0.5748016206553554,0.1407103825136612,0.24479816593633014
cuisine_bbq,Other states,39739,1016,0.025566823523490777,0.021242636176325488,1.2035617101037823,0.6939890710382514,0.5766127862096985
cuisine_burgers,CA,12308,1007,0.08181670458238544,0.06976406744246787,1.172762821632454,0.20944259567387688,0.1785890478539714
cuisine_burgers,NY,16871,957,0.05672455693201352,0.06976406744246787,0.8130913092014366,0.1990432612312812,0.24479816593633014
cuisine_burgers,Other states,39739,2844,0.07156697450866907,0.06976406744246787,1.025842917884454,0.591514143094842,0.5766127862096985
cuisine_cafe_bakery,CA,12308,945,0.07677933051673708,0.07976145564293799,0.9626119520743106,0.1719119519738039,0.1785890478539714
