cohort,restaurants,google_other,post_repair_unknown,google_other_share,post_repair_unknown_share
added after old EDA,30573,7202,3024,0.2355673306512282,0.09891080365027966
pre-expansion,44630,8545,3972,0.1914631413847188,0.0889984315482859
