audited_cuisine,restaurants,share_of_catalogue
mexican & latin,8748,0.11632514660319401
american & comfort,8510,0.11316037924018989
unknown,6996,0.09302820366208794
italian & pizza,6498,0.08640612741512971
café & bakery,5768,0.07669906785633551
fast food & burgers,5493,0.07304229884446099
bar & pub,4229,0.05623445873169953
chinese,3854,0.05124795553368881
asian (other),3729,0.04958578780101858
sandwiches & deli,3333,0.04432004042391926
japanese & sushi,2899,0.038548994056088186
mediterranean & middle eastern,2005,0.026661170432030635
bbq & steakhouse,1457,0.019374227092004308
seafood,1406,0.01869606265707485
indian & south asian,1294,0.017206760368602317
caribbean,1286,0.01710038163371142
mexican,1091,0.014507399970745847
latin_american,612,0.00813797321915349
japanese,457,0.006076885230642395
fine dining,393,0.005225855351515232
cafe_bakery,386,0.005132773958485698
burgers,376,0.00499980053987208
south_american,371,0.00493331383056527
middle_eastern,356,0.004733853702644841
pizza,349,0.004640772309615308
african,323,0.004295041421219898
desserts,315,0.004188662686329002
french,306,0.004068986609576745
soul food,302,0.004015797242131297
spanish,289,0.003842931797933593
indian,189,0.002513197611797402
bbq,144,0.0019148172280361155
italian,141,0.0018749252024520297
korean,135,0.0017951411512838584
eastern_european,130,0.0017286544419770488
mediterranean,127,0.001688762416392963
filipino,114,0.0015158969721952582
ethiopian,106,0.0014095182373043628
southern,96,0.0012765448186907438
vietnamese,86,0.0011435714000771246
thai,80,0.001063787348908953
fusion,75,0.0009973006396021434
european,65,0.0008643272209885244
cajun_creole,63,0.0008377325372658005
taiwanese,54,0.0007180564605135433
american,35,0.00046540696514766694
bar_pub,32,0.0004255149395635812
british_irish,30,0.0003989202558408574
portuguese,28,0.0003723255721181336
steakhouse,22,0.0002925415209499621
southeast_asian,18,0.00023935215350451443
vegan,2,0.000026594683722723827
