activity_band,reviewers,share
1,3223188,0.820142522940005
2,417598,0.10625811379748877
3,132615,0.033743982876484016
4–5,90048,0.02291277887163317
6–10,48112,0.012242133274165058
11–25,15896,0.0040447487222756845
26+,2577,0.0006557195179481908
