feature,rows,known_rows,known_share,mean_when_known,std_when_known,p05_when_known,median_when_known,p95_when_known,zero_share_when_known,half_share_when_known,one_share_when_known
value,68918,57619,0.8360515395107229,0.8008143147225742,0.2281732234754451,0.5,0.8,1.0,0.025269442371439976,0.12837779204776203,0.4337284576268245
food_sentiment,68918,34295,0.49762036042833513,0.9203032512027993,0.1619779862082138,0.5,1.0,1.0,0.009214171161976965,0.03732322495990669,0.7070418428342324
service_sentiment,68918,33520,0.4863751124524798,0.8677734685759746,0.2149675693716335,0.5,1.0,1.0,0.018108591885441526,0.09439140811455847,0.6362768496420048
noise,68918,28160,0.40860152645172526,0.6261168323863636,0.23297263421017678,0.0,0.6,1.0,0.059161931818181815,0.38071732954545456,0.13011363636363638
authenticity,68918,25613,0.37164456310397864,0.9475852106352243,0.12936176437200422,0.7,1.0,1.0,0.0037480966696599384,0.02978955998906805,0.7852652949673994
service_speed,68918,23736,0.34440929800632636,0.7247387933940007,0.2699166503310494,0.0,0.8,1.0,0.0551061678463094,0.2227418267610381,0.3436973373778227
wait,68918,19672,0.2854406686206796,0.590602153088428,0.1860701195323272,0.5,0.5,1.0,0.03360105734038227,0.46904229361529076,0.0719804798698658
portion_size,68918,17720,0.2571171537189123,0.7986512415349888,0.22726033091948306,0.5,0.8,1.0,0.021218961625282168,0.1525959367945824,0.42895033860045145
romantic,68918,13533,0.19636379465451695,0.3631308652922486,0.3647682022279411,0.0,0.3,1.0,0.4127687874085569,0.22648341092145127,0.1506687356831449
consistency,68918,11957,0.173496038770713,0.7643263360374676,0.25703645642752476,0.4,0.8,1.0,0.043489169524128124,0.16818599983273397,0.4103872208748014
offers_vegan,68918,10855,0.1575060216489161,0.3283095347766007,0.4203754759867079,0.0,0.0,1.0,0.5873790879778904,0.14887148779364348,0.22865039152464303
offers_vegetarian,68918,10678,0.1549377521112046,0.38832178310545046,0.4193512347907931,0.0,0.5,1.0,0.4941936692264469,0.2078104513953924,0.24508334894174938
takeout,68918,10544,0.15299341246118575,0.9043721547799697,0.22954256431616568,0.5,1.0,1.0,0.04059180576631259,0.054533383915022764,0.7850910470409712
cleanliness,68918,10524,0.15270321251342175,0.7767198783732422,0.30189483172672155,0.0,0.9,1.0,0.07829722538958571,0.12134169517293805,0.49125807677689093
formality,68918,9875,0.14328622420847964,0.4609113924050633,0.316049456909703,0.0,0.5,1.0,0.23372151898734178,0.42470886075949366,0.13741772151898735
value_sentiment,68918,8497,0.1232914478075394,0.894839355066494,0.19918359906029476,0.5,1.0,1.0,0.0181240437801577,0.065905613746028,0.7064846416382252
repeat_visit_intent,68918,8349,0.12114396819408572,0.6382620673134507,0.36037063698177263,0.0,0.7,1.0,0.17487124206491794,0.1736734938315966,0.3510600071864894
solo,68918,8099,0.11751646884703561,0.694746264970984,0.2726804902033324,0.0,0.7,1.0,0.06618101000123472,0.24533893073218915,0.32473144832695394
offers_kosher,68918,7596,0.11021794016077077,0.15651658767772514,0.32785283651478503,0.0,0.0,1.0,0.7958135860979463,0.0889942074776198,0.10308056872037914
atmosphere_sentiment,68918,7591,0.11014539017382977,0.9594980898432355,0.1217246442918252,0.7,1.0,1.0,0.005401132920563825,0.01370043472533263,0.8540376761954946
spice,68918,7588,0.11010186018166516,0.8805877701634162,0.15889370506422834,0.5,1.0,1.0,0.005535055350553505,0.050210859251449656,0.5272799156562994
offers_halal,68918,7095,0.10294843146928234,0.293784355179704,0.43360980623490386,0.0,0.0,1.0,0.6680761099365751,0.07244538407329106,0.2522903453136011
