cuisine,restaurants,share_of_catalogue,share_of_llm_feature_rows
Southern,12471,0.1658311503530444,0.18095417742824807
Pizza,12385,0.1646875789529673,0.17970631765286282
American,10920,0.1452069731260721,0.15844917147914914
Mexican,9857,0.13107189872744437,0.14302504425549203
Other,9680,0.12871826921798332,0.14045677471778056
Seafood,8835,0.1174820153451325,0.12819582692475115
Latin American,8433,0.11213648391686501,0.12236280797469457
Italian,7633,0.10149861042777548,0.1107548100641342
Cafe Bakery,5497,0.07309548821190644,0.07976145564293799
Burgers,4808,0.06393361966942808,0.06976406744246787
Bar Pub,4714,0.06268366953446006,0.06840012768797701
Chinese,4318,0.05741792215736074,0.06265416872224963
Japanese,3071,0.04083613685624243,0.04456020197916365
Middle Eastern,2126,0.028270148797255427,0.030848254447314198
Mediterranean,2111,0.028070688669335,0.030630604486491193
Korean,1936,0.025743653843596663,0.02809135494355611
Steakhouse,1691,0.022485805087562996,0.024536405583446996
Indian,1529,0.020331635706022366,0.02218578600655852
Bbq,1464,0.019467308485033842,0.021242636176325488
Thai,1319,0.017539193915136364,0.01913868655503642
Caribbean,879,0.011688363496137121,0.012754287704228214
Vegetarian Vegan,481,0.00639602143531508,0.006979308743724426
Desserts,421,0.0055981809236333654,0.006108708900432398
Vietnamese,269,0.003576984960706355,0.0039031892974259264
African,175,0.002327034825738335,0.0025392495429350822
Cajun Creole,116,0.001542491655917982,0.0016831596970312546
