feature,rows,known_rows,known_share,mean_when_known,std_when_known,p05_when_known,median_when_known,p95_when_known,zero_share_when_known,half_share_when_known,one_share_when_known
value,150767,86040,0.5706819131507558,0.7404033782736712,0.2822770213960404,0.0,0.8,1.0,0.06963040446304045,0.1949907019990702,0.3947001394700139
service_speed,150767,83774,0.5556520989341169,0.6924775789624465,0.31724390373762595,0.0,0.8,1.0,0.10759901640127008,0.23569365196839115,0.3692553775634445
portion_size,150767,63908,0.42388586361736985,0.6979957657883208,0.29226130714951687,0.0,0.75,1.0,0.08383926894911435,0.25334856356011765,0.3321649871690555
noise,150767,60178,0.39914570164558555,0.4988378920314178,0.27629436535706425,0.0,0.5,1.0,0.18448602479311377,0.42138322975173653,0.07293363023031672
wait,150767,37290,0.24733529220585407,0.5287087700008939,0.3142262167378864,0.0,0.5,1.0,0.1891928130866184,0.39388576025744165,0.17382676320729418
romantic,150767,34922,0.23162893736693044,0.4206732145925205,0.38712944087920365,0.0,0.5,1.0,0.39121470706145123,0.21716969245747667,0.20021762785636563
formality,150767,26700,0.1770944570098231,0.6395898876404494,0.30216449575741944,0.0,0.6,1.0,0.11052434456928839,0.3492134831460674,0.2651310861423221
takeout,150767,25232,0.16735757824988226,0.7639366677235256,0.31314943508976706,0.0,1.0,1.0,0.0934131261889664,0.161501268230818,0.5216391883322765
solo,150767,19627,0.13018100778021716,0.5183497223212921,0.3469663587541336,0.0,0.5,1.0,0.22606613338768022,0.34009272940337293,0.23900748968258012
outdoor,150767,17452,0.11575477392267539,0.8392476506990603,0.2814509690264779,0.0,1.0,1.0,0.06910382764153106,0.09586293834517534,0.6603254641301857
group,150767,10173,0.06747497794610226,0.933697041187457,0.1654168266282119,0.5,1.0,1.0,0.014351715324879583,0.038041875552934236,0.7943576132900816
family,150767,8916,0.059137609689122954,0.9337539255271422,0.18545369814951404,0.5,1.0,1.0,0.02456258411843876,0.03566621803499327,0.8029385374607447
healthiness,150767,5728,0.0379923988671261,0.7665502793296088,0.29086734499315803,0.0,0.8,1.0,0.07297486033519553,0.16812150837988826,0.47363826815642457
consistency,150767,5397,0.0357969582203002,0.7384658143413008,0.32026313569125003,0.0,0.8,1.0,0.10728182323513062,0.16045951454511767,0.455994070780063
spice,150767,4715,0.03127342190267101,0.7657864969954047,0.22326313999716338,0.5,0.8,1.0,0.02735949098621421,0.1408271474019088,0.3164369034994698
sweetness,150767,4673,0.03099484635231848,0.5530130537128183,0.2944608406689094,0.0,0.5,1.0,0.14615878450674086,0.32184891932377485,0.16563235608816607
novelty,150767,4305,0.0285539939111344,0.843890824622532,0.21273594417525832,0.5,1.0,1.0,0.020905923344947737,0.10708478513356562,0.5314750290360046
parking,150767,3567,0.023659023526368502,0.5891785814409868,0.41835927062367784,0.0,0.5,1.0,0.2772638071208298,0.2141855901317634,0.43790299971965235
local_independent,150767,3160,0.020959493788428502,0.9814398734177215,0.10972634032583445,1.0,1.0,1.0,0.008860759493670886,0.011075949367088608,0.9515822784810126
transit,150767,2786,0.018478844840051203,0.7818736539842068,0.3339818094177821,0.0,1.0,1.0,0.11880832735104092,0.11019382627422829,0.5933237616654702
richness,150767,2604,0.017271684121856905,0.8324039938556067,0.20672905000183575,0.5,0.8,1.0,0.02227342549923195,0.08102918586789555,0.467357910906298
allergy_accommodation_need,150767,2549,0.016906882805919066,0.8643389564535111,0.2865293396102157,0.0,1.0,1.0,0.07846214201647705,0.0639466457434288,0.7269517457826599
reservation,150767,2502,0.01659514349957219,0.7934652278177458,0.33421188422392384,0.0,1.0,1.0,0.11830535571542766,0.10671462829736211,0.6227018385291767
seafood,150767,2364,0.015679823834128158,0.7470177664974619,0.3661638325761322,0.0,1.0,1.0,0.14213197969543148,0.12436548223350254,0.5917935702199661
plant_based,150767,2330,0.015454310293366585,0.9060085836909871,0.2106807545721015,0.5,1.0,1.0,0.024892703862660945,0.08669527896995709,0.7682403433476395
cross_contamination_sensitivity,150767,2114,0.014021636034410713,0.6824503311258278,0.3957051176385067,0.0,1.0,1.0,0.2076631977294229,0.16367076631977295,0.5245979186376537
red_meat,150767,1905,0.01263539103384693,0.7065879265091862,0.3422075374662166,0.0,0.8,1.0,0.12283464566929134,0.2204724409448819,0.4624671916010499
accessibility,150767,1767,0.0117200713684029,0.6295981890209394,0.43462928236423654,0.0,1.0,1.0,0.2903225806451613,0.10299943406904358,0.5082059988681381
poultry,150767,1550,0.010280764358248158,0.8921290322580646,0.2502084014443879,0.0,1.0,1.0,0.052258064516129035,0.07096774193548387,0.7690322580645161
review_preference_consistency,150767,1147,0.007607765625103637,0.7586748038360942,0.3703227045415658,0.0,1.0,1.0,0.15170008718395817,0.16826503923278116,0.6573670444638187
restriction_vegan,150767,335,0.002221971651621376,0.6292537313432837,0.44214133755368307,0.0,1.0,1.0,0.30149253731343284,0.11044776119402985,0.5134328358208955
restriction_vegetarian,150767,334,0.0022153389004225064,0.6206586826347306,0.4399954104654863,0.0,1.0,1.0,0.3023952095808383,0.12275449101796407,0.5029940119760479
business,150767,289,0.0019168650964733662,0.7975778546712803,0.36962962176435393,0.0,1.0,1.0,0.15916955017301038,0.05190311418685121,0.7197231833910035
nightlife,150767,261,0.0017311480629050124,0.9639846743295019,0.1610238388788982,0.8,1.0,1.0,0.019157088122605363,0.03065134099616858,0.9425287356321839
restriction_gluten_free,150767,230,0.0015255327757400493,0.8134782608695653,0.34721736890897525,0.0,1.0,1.0,0.13043478260869565,0.08260869565217391,0.7130434782608696
restriction_halal,150767,138,0.0009153196654440296,0.7913043478260869,0.40335785145615227,0.0,1.0,1.0,0.2028985507246377,0.007246376811594203,0.7753623188405797
restriction_kosher,150767,46,0.00030510655514800984,0.18043478260869567,0.3768993766200979,0.0,0.0,1.0,0.8043478260869565,0.021739130434782608,0.15217391304347827
