pred_name,csv_model,alpha,bandwidth_km,precision_at_10,recall_at_10,ndcg_at_10,delta_ndcg,base_ndcg
kgat_sal_all_T3_nospatial,KGAT-SAL,0.6,10.0,0.1388,0.1388,0.0734,0.0132,0.0602
kgat_sal_all_T3_nospatial,KGAT-SAL,0.7,10.0,0.1388,0.1388,0.0734,0.0132,0.0602
kgat_sal_all_T3_nospatial,KGAT-SAL,0.1,20.0,0.1196,0.1196,0.0634,0.0032,0.0602
kgat_sal_all_T3_nospatial,KGAT-SAL,0.2,20.0,0.1255,0.1255,0.0665,0.0063,0.0602
kgat_sal_all_T3_nospatial,KGAT-SAL,0.3,20.0,0.1314,0.1314,0.0695,0.0093,0.0602
kgat_sal_all_T3_nospatial,KGAT-SAL,0.4,20.0,0.1355,0.1355,0.0716,0.0114,0.0602
kgat_sal_all_T3_nospatial,KGAT-SAL,0.5,20.0,0.1379,0.1379,0.0727,0.0125,0.0602
kgat_sal_all_T3_nospatial,KGAT-SAL,0.6,20.0,0.1388,0.1388,0.0733,0.0131,0.0602
kgat_sal_all_T3_nospatial,KGAT-SAL,0.7,20.0,0.1389,0.1389,0.0734,0.0132,0.0602
kgat_sal_all_T3_nospatial,KGAT-SAL,0.1,50.0,0.1191,0.1191,0.0631,0.0029,0.0602
kgat_sal_all_T3_nospatial,KGAT-SAL,0.2,50.0,0.1248,0.1248,0.066,0.0058,0.0602
kgat_sal_all_T3_nospatial,KGAT-SAL,0.3,50.0,0.1297,0.1297,0.0685,0.0083,0.0602
kgat_sal_all_T3_nospatial,KGAT-SAL,0.4,50.0,0.1334,0.1334,0.0704,0.0102,0.0602
kgat_sal_all_T3_nospatial,KGAT-SAL,0.5,50.0,0.1362,0.1362,0.0715,0.0113,0.0602
kgat_sal_all_T3_nospatial,KGAT-SAL,0.6,50.0,0.1373,0.1373,0.0722,0.012,0.0602
kgat_sal_all_T3_nospatial,KGAT-SAL,0.7,50.0,0.1386,0.1386,0.0729,0.0127,0.0602
infonce_llm,InfoNCE,0.1,5.0,0.1193,0.1193,0.0605,0.0011,0.0594
infonce_llm,InfoNCE,0.2,5.0,0.1208,0.1208,0.0615,0.0021,0.0594
infonce_llm,InfoNCE,0.3,5.0,0.1213,0.1213,0.0619,0.0025,0.0594
infonce_llm,InfoNCE,0.4,5.0,0.1219,0.1219,0.0622,0.0028,0.0594
infonce_llm,InfoNCE,0.5,5.0,0.1215,0.1215,0.0613,0.0019,0.0594
infonce_llm,InfoNCE,0.6,5.0,0.1206,0.1206,0.0607,0.0013,0.0594
infonce_llm,InfoNCE,0.7,5.0,0.1195,0.1195,0.0602,0.0008,0.0594
infonce_llm,InfoNCE,0.1,10.0,0.1189,0.1189,0.0603,0.0009,0.0594
infonce_llm,InfoNCE,0.2,10.0,0.1203,0.1203,0.0612,0.0018,0.0594
infonce_llm,InfoNCE,0.3,10.0,0.1212,0.1212,0.0617,0.0023,0.0594
infonce_llm,InfoNCE,0.4,10.0,0.1213,0.1213,0.0618,0.0024,0.0594
infonce_llm,InfoNCE,0.5,10.0,0.121,0.121,0.0612,0.0018,0.0594
infonce_llm,InfoNCE,0.6,10.0,0.1207,0.1207,0.0608,0.0014,0.0594
infonce_llm,InfoNCE,0.7,10.0,0.1199,0.1199,0.0603,0.0009,0.0594
infonce_llm,InfoNCE,0.1,20.0,0.1185,0.1185,0.0601,0.0007,0.0594
infonce_llm,InfoNCE,0.2,20.0,0.12,0.12,0.0609,0.0015,0.0594
infonce_llm,InfoNCE,0.3,20.0,0.1208,0.1208,0.0614,0.002,0.0594
infonce_llm,InfoNCE,0.4,20.0,0.1213,0.1213,0.0617,0.0023,0.0594
infonce_llm,InfoNCE,0.5,20.0,0.1209,0.1209,0.061,0.0016,0.0594
infonce_llm,InfoNCE,0.6,20.0,0.1199,0.1199,0.0606,0.0012,0.0594
infonce_llm,InfoNCE,0.7,20.0,0.1197,0.1197,0.0603,0.0009,0.0594
infonce_llm,InfoNCE,0.1,50.0,0.1182,0.1182,0.06,0.0006,0.0594
infonce_llm,InfoNCE,0.2,50.0,0.1194,0.1194,0.0606,0.0012,0.0594
infonce_llm,InfoNCE,0.3,50.0,0.1203,0.1203,0.0611,0.0017,0.0594
infonce_llm,InfoNCE,0.4,50.0,0.1207,0.1207,0.0613,0.0019,0.0594
infonce_llm,InfoNCE,0.5,50.0,0.1208,0.1208,0.0609,0.0015,0.0594
infonce_llm,InfoNCE,0.6,50.0,0.1201,0.1201,0.0606,0.0012,0.0594
infonce_llm,InfoNCE,0.7,50.0,0.1195,0.1195,0.0603,0.0009,0.0594
lightgcn_3l_all,LightGCN,0.1,5.0,0.1034,0.1034,0.0531,0.0014,0.0517
lightgcn_3l_all,LightGCN,0.2,5.0,0.106,0.106,0.0543,0.0026,0.0517
lightgcn_3l_all,LightGCN,0.3,5.0,0.1082,0.1082,0.0554,0.0037,0.0517
lightgcn_3l_all,LightGCN,0.4,5.0,0.11,0.11,0.0561,0.0044,0.0517
lightgcn_3l_all,LightGCN,0.5,5.0,0.1109,0.1109,0.0559,0.0042,0.0517
lightgcn_3l_all,LightGCN,0.6,5.0,0.1109,0.1109,0.0558,0.0041,0.0517
lightgcn_3l_all,LightGCN,0.7,5.0,0.1112,0.1112,0.0558,0.0041,0.0517
lightgcn_3l_all,LightGCN,0.1,10.0,0.1032,0.1032,0.053,0.0013,0.0517
lightgcn_3l_all,LightGCN,0.2,10.0,0.1059,0.1059,0.0542,0.0025,0.0517
lightgcn_3l_all,LightGCN,0.3,10.0,0.1077,0.1077,0.055,0.0033,0.0517
lightgcn_3l_all,LightGCN,0.4,10.0,0.1093,0.1093,0.0556,0.0039,0.0517
lightgcn_3l_all,LightGCN,0.5,10.0,0.1101,0.1101,0.0555,0.0038,0.0517
lightgcn_3l_all,LightGCN,0.6,10.0,0.1106,0.1106,0.0557,0.004,0.0517
lightgcn_3l_all,LightGCN,0.7,10.0,0.1108,0.1108,0.0556,0.0039,0.0517
lightgcn_3l_all,LightGCN,0.1,20.0,0.1031,0.1031,0.0529,0.0012,0.0517
lightgcn_3l_all,LightGCN,0.2,20.0,0.1055,0.1055,0.0539,0.0022,0.0517
lightgcn_3l_all,LightGCN,0.3,20.0,0.1071,0.1071,0.0547,0.003,0.0517
lightgcn_3l_all,LightGCN,0.4,20.0,0.1084,0.1084,0.0551,0.0034,0.0517
lightgcn_3l_all,LightGCN,0.5,20.0,0.1091,0.1091,0.0551,0.0034,0.0517
lightgcn_3l_all,LightGCN,0.6,20.0,0.1098,0.1098,0.0553,0.0036,0.0517
lightgcn_3l_all,LightGCN,0.7,20.0,0.11,0.11,0.0553,0.0036,0.0517
lightgcn_3l_all,LightGCN,0.1,50.0,0.1026,0.1026,0.0527,0.001,0.0517
lightgcn_3l_all,LightGCN,0.2,50.0,0.1046,0.1046,0.0535,0.0018,0.0517
lightgcn_3l_all,LightGCN,0.3,50.0,0.1061,0.1061,0.0542,0.0025,0.0517
lightgcn_3l_all,LightGCN,0.4,50.0,0.1071,0.1071,0.0545,0.0028,0.0517
lightgcn_3l_all,LightGCN,0.5,50.0,0.1078,0.1078,0.0545,0.0028,0.0517
lightgcn_3l_all,LightGCN,0.6,50.0,0.1083,0.1083,0.0547,0.003,0.0517
lightgcn_3l_all,LightGCN,0.7,50.0,0.1088,0.1088,0.0549,0.0032,0.0517
infonce_all,InfoNCE,0.1,5.0,0.1258,0.1258,0.0645,0.0014,0.0631
infonce_all,InfoNCE,0.2,5.0,0.1281,0.1281,0.0659,0.0028,0.0631
infonce_all,InfoNCE,0.3,5.0,0.1297,0.1297,0.0669,0.0038,0.0631
infonce_all,InfoNCE,0.4,5.0,0.1301,0.1301,0.0671,0.004,0.0631
infonce_all,InfoNCE,0.5,5.0,0.1293,0.1293,0.0659,0.0028,0.0631
infonce_all,InfoNCE,0.6,5.0,0.1286,0.1286,0.0654,0.0023,0.0631
infonce_all,InfoNCE,0.7,5.0,0.1272,0.1272,0.0646,0.0015,0.0631
infonce_all,InfoNCE,0.1,10.0,0.1256,0.1256,0.0644,0.0013,0.0631
infonce_all,InfoNCE,0.2,10.0,0.1275,0.1275,0.0655,0.0024,0.0631
infonce_all,InfoNCE,0.3,10.0,0.1292,0.1292,0.0665,0.0034,0.0631
infonce_all,InfoNCE,0.4,10.0,0.1297,0.1297,0.0668,0.0037,0.0631
infonce_all,InfoNCE,0.5,10.0,0.1294,0.1294,0.066,0.0029,0.0631
infonce_all,InfoNCE,0.6,10.0,0.1287,0.1287,0.0655,0.0024,0.0631
infonce_all,InfoNCE,0.7,10.0,0.1273,0.1273,0.0648,0.0017,0.0631
infonce_all,InfoNCE,0.1,20.0,0.1253,0.1253,0.0642,0.0011,0.0631
infonce_all,InfoNCE,0.2,20.0,0.1271,0.1271,0.0652,0.0021,0.0631
infonce_all,InfoNCE,0.3,20.0,0.1284,0.1284,0.0659,0.0028,0.0631
infonce_all,InfoNCE,0.4,20.0,0.1294,0.1294,0.0664,0.0033,0.0631
infonce_all,InfoNCE,0.5,20.0,0.129,0.129,0.0657,0.0026,0.0631
infonce_all,InfoNCE,0.6,20.0,0.1285,0.1285,0.0654,0.0023,0.0631
infonce_all,InfoNCE,0.7,20.0,0.1275,0.1275,0.0649,0.0018,0.0631
infonce_all,InfoNCE,0.1,50.0,0.1249,0.1249,0.064,0.0009,0.0631
infonce_all,InfoNCE,0.2,50.0,0.1265,0.1265,0.0648,0.0017,0.0631
infonce_all,InfoNCE,0.3,50.0,0.1275,0.1275,0.0654,0.0023,0.0631
infonce_all,InfoNCE,0.4,50.0,0.1284,0.1284,0.0659,0.0028,0.0631
infonce_all,InfoNCE,0.5,50.0,0.1285,0.1285,0.0654,0.0023,0.0631
infonce_all,InfoNCE,0.6,50.0,0.1282,0.1282,0.0653,0.0022,0.0631
infonce_all,InfoNCE,0.7,50.0,0.1275,0.1275,0.065,0.0019,0.0631
infonce_kgat_sal_all_T3_nospatial,InfoNCE-KGAT-SAL,0.1,5.0,0.1176,0.1176,0.0623,0.0035,0.0588
infonce_kgat_sal_all_T3_nospatial,InfoNCE-KGAT-SAL,0.2,5.0,0.1245,0.1245,0.066,0.0072,0.0588
infonce_kgat_sal_all_T3_nospatial,InfoNCE-KGAT-SAL,0.3,5.0,0.1312,0.1312,0.0697,0.0109,0.0588
infonce_kgat_sal_all_T3_nospatial,InfoNCE-KGAT-SAL,0.4,5.0,0.1352,0.1352,0.0721,0.0133,0.0588
infonce_kgat_sal_all_T3_nospatial,InfoNCE-KGAT-SAL,0.5,5.0,0.1372,0.1372,0.073,0.0142,0.0588
infonce_kgat_sal_all_T3_nospatial,InfoNCE-KGAT-SAL,0.6,5.0,0.1379,0.1379,0.0733,0.0145,0.0588
infonce_kgat_sal_all_T3_nospatial,InfoNCE-KGAT-SAL,0.7,5.0,0.138,0.138,0.0732,0.0144,0.0588
