timestamp,model,variant,precision_at_10,recall_at_10,ndcg_at_10,epochs,emb_dim,n_layers,skip_groups,notes
2026-04-25 11:35:05,HEK-CL,c=0.904 q=0.001 lam=0.5 skip llm,0.0002,0.0024,0.0012,300,512,6,llm,
2026-04-25 11:38:02,LightGCN,all features +proximity,0.1077,0.1077,0.0550,0,2048,3,,proximity_reranked alpha=0.3 bw=10.0km top_k=50
2026-04-25 11:38:37,LightGCN,skip llm +proximity,0.1072,0.1072,0.0545,0,2048,3,llm,proximity_reranked alpha=0.3 bw=10.0km top_k=50
2026-04-25 11:39:13,LightGCN,all features +proximity,0.1028,0.1028,0.0521,0,2048,4,,proximity_reranked alpha=0.3 bw=10.0km top_k=50
2026-04-25 11:39:48,LightGCN,skip llm +proximity,0.1033,0.1033,0.0523,0,2048,4,llm,proximity_reranked alpha=0.3 bw=10.0km top_k=50
2026-04-25 11:40:24,KGAT,all features +proximity,0.1367,0.1367,0.0718,0,2048,4,,proximity_reranked alpha=0.3 bw=10.0km top_k=50
2026-04-25 11:40:59,KGAT,skip llm +proximity,0.1360,0.1360,0.0716,0,2048,4,llm,proximity_reranked alpha=0.3 bw=10.0km top_k=50
2026-04-25 11:41:35,RaDAR,all features +proximity,0.1178,0.1178,0.0621,0,2048,4,,proximity_reranked alpha=0.3 bw=10.0km top_k=50
2026-04-25 11:42:10,RaDAR,skip llm +proximity,0.1187,0.1187,0.0621,0,2048,4,llm,proximity_reranked alpha=0.3 bw=10.0km top_k=50
2026-04-25 11:42:46,SimGCL,skip llm +proximity,0.0932,0.0932,0.0478,0,2048,4,llm,proximity_reranked alpha=0.3 bw=10.0km top_k=50
2026-04-25 11:43:22,InfoNCE,skip llm +proximity,0.1212,0.1212,0.0617,0,2048,4,llm,proximity_reranked alpha=0.3 bw=10.0km top_k=50
2026-04-25 11:43:57,SimGCL-HRCL,skip llm +proximity,0.1166,0.1166,0.0614,0,2048,4,llm,proximity_reranked alpha=0.3 bw=10.0km top_k=50
2026-04-25 11:44:24,HEK-CL,skip llm +proximity,0.0048,0.0048,0.0025,0,512,4,llm,proximity_reranked alpha=0.3 bw=10.0km top_k=50
2026-04-25 22:36:33,IFL-GCL,all features,0.0065,0.0651,0.0333,300,2048,4,,warmup=50 interval=50 threshold=0.9 beta=1.0 top_k=20
