timestamp,run_id,model,variant,epoch,recall_at_10
2026-04-26 08:02:29,20260426_075349,KGAT-SAL,all features T=3,50,0.0400
2026-04-26 08:22:29,20260426_081412,KGAT-SAL,all features T=3,50,0.0332
2026-04-26 08:30:02,20260426_081412,KGAT-SAL,all features T=3,100,0.0833
2026-04-26 08:37:36,20260426_081412,KGAT-SAL,all features T=3,150,0.1031
2026-04-26 08:45:09,20260426_081412,KGAT-SAL,all features T=3,200,0.1099
2026-04-26 08:52:43,20260426_081412,KGAT-SAL,all features T=3,250,0.1123
2026-04-26 09:00:19,20260426_081412,KGAT-SAL,all features T=3,300,0.1136
2026-04-26 10:38:23,20260426_102844,InfoNCE-KGAT-SAL,all features T=3,50,0.0093
2026-04-26 11:00:41,20260426_105204,InfoNCE-KGAT-SAL,all features T=3,50,0.0417
2026-04-26 11:10:07,20260426_105204,InfoNCE-KGAT-SAL,all features T=3,100,0.0786
2026-04-26 11:22:43,20260426_111333,InfoNCE-KGAT-SAL,all features T=3,50,0.0331
2026-04-26 11:32:27,20260426_111333,InfoNCE-KGAT-SAL,all features T=3,100,0.0778
2026-04-26 11:42:13,20260426_111333,InfoNCE-KGAT-SAL,all features T=3,150,0.1014
2026-04-26 11:51:33,20260426_111333,InfoNCE-KGAT-SAL,all features T=3,200,0.1074
2026-04-26 12:00:51,20260426_111333,InfoNCE-KGAT-SAL,all features T=3,250,0.1107
2026-04-26 12:10:11,20260426_111333,InfoNCE-KGAT-SAL,all features T=3,300,0.1107
2026-04-28 19:49:38,20260428_194102,KGAT,all features +spatial_cbg,50,0.0125
2026-04-28 19:52:39,20260428_194038,InfoNCE-KGAT-SAL,all features T=3,50,0.0173
2026-04-28 19:58:01,20260428_194102,KGAT,all features +spatial_cbg,100,0.0369
2026-04-28 20:05:22,20260428_194038,InfoNCE-KGAT-SAL,all features T=3,100,0.0349
2026-04-28 20:06:27,20260428_194102,KGAT,all features +spatial_cbg,150,0.0582
2026-04-28 20:14:50,20260428_194102,KGAT,all features +spatial_cbg,200,0.0687
2026-04-28 20:18:04,20260428_194038,InfoNCE-KGAT-SAL,all features T=3,150,0.0522
2026-04-28 20:23:14,20260428_194102,KGAT,all features +spatial_cbg,250,0.0733
2026-04-28 20:30:45,20260428_194038,InfoNCE-KGAT-SAL,all features T=3,200,0.0606
2026-04-28 20:31:37,20260428_194102,KGAT,all features +spatial_cbg,300,0.0743
2026-04-28 20:43:25,20260428_194038,InfoNCE-KGAT-SAL,all features T=3,250,0.0644
2026-04-28 20:56:06,20260428_194038,InfoNCE-KGAT-SAL,all features T=3,300,0.0653
2026-04-28 21:23:29,20260428_211147,KGAT-SAL,all features T=3,50,0.0102
2026-04-28 21:34:35,20260428_211147,KGAT-SAL,all features T=3,100,0.0344
2026-04-28 21:45:44,20260428_211147,KGAT-SAL,all features T=3,150,0.0529
2026-04-28 21:56:49,20260428_211147,KGAT-SAL,all features T=3,200,0.0621
2026-04-28 22:07:52,20260428_211147,KGAT-SAL,all features T=3,250,0.0655
2026-04-28 22:18:58,20260428_211147,KGAT-SAL,all features T=3,300,0.0665
2026-05-02 23:03:30,20260502_224802,InfoNCE-KGAT-SAL,all features T=3,50,0.0033
2026-05-02 23:03:31,20260502_224802,InfoNCE-KGAT-SAL,all features T=3,50,0.0034
2026-05-02 23:20:07,20260502_224802,InfoNCE-KGAT-SAL,all features T=3,100,0.0136
2026-05-02 23:20:07,20260502_224802,InfoNCE-KGAT-SAL,all features T=3,100,0.0136
2026-05-02 23:36:41,20260502_224802,InfoNCE-KGAT-SAL,all features T=3,150,0.0170
2026-05-02 23:36:42,20260502_224802,InfoNCE-KGAT-SAL,all features T=3,150,0.0170
2026-05-02 23:53:15,20260502_224802,InfoNCE-KGAT-SAL,all features T=3,200,0.0216
2026-05-02 23:53:15,20260502_224802,InfoNCE-KGAT-SAL,all features T=3,200,0.0217
2026-05-03 00:09:49,20260502_224802,InfoNCE-KGAT-SAL,all features T=3,250,0.0240
2026-05-03 00:09:51,20260502_224802,InfoNCE-KGAT-SAL,all features T=3,250,0.0240
2026-05-03 00:26:20,20260502_224802,InfoNCE-KGAT-SAL,all features T=3,300,0.0247
2026-05-03 00:26:20,20260502_224802,InfoNCE-KGAT-SAL,all features T=3,300,0.0248
2026-05-03 00:36:12,20260503_002712,KGAT,all features +spatial_cbg,50,0.0125
2026-05-03 00:36:12,20260503_002712,KGAT,all features +spatial_cbg,50,0.0125
2026-05-03 00:44:52,20260503_002712,KGAT,all features +spatial_cbg,100,0.0350
2026-05-03 00:44:52,20260503_002712,KGAT,all features +spatial_cbg,100,0.0350
2026-05-03 00:53:27,20260503_002712,KGAT,all features +spatial_cbg,150,0.0524
2026-05-03 00:53:27,20260503_002712,KGAT,all features +spatial_cbg,150,0.0525
2026-05-03 01:02:02,20260503_002712,KGAT,all features +spatial_cbg,200,0.0612
2026-05-03 01:02:02,20260503_002712,KGAT,all features +spatial_cbg,200,0.0612
2026-05-03 01:10:38,20260503_002712,KGAT,all features +spatial_cbg,250,0.0642
2026-05-03 01:10:38,20260503_002712,KGAT,all features +spatial_cbg,250,0.0642
2026-05-03 01:19:14,20260503_002712,KGAT,all features +spatial_cbg,300,0.0650
2026-05-03 01:19:14,20260503_002712,KGAT,all features +spatial_cbg,300,0.0650
2026-05-03 01:34:43,20260503_011940,KGAT-SAL,all features T=3,50,0.0053
2026-05-03 01:34:43,20260503_011940,KGAT-SAL,all features T=3,50,0.0052
2026-05-03 01:49:07,20260503_011940,KGAT-SAL,all features T=3,100,0.0094
